Log started at 2023-09-04 14:03:07.022057


[2023-09-04 14:06:03.263784]:  Connecting...
[2023-09-04 14:06:05.728179]:  * MUVBOX_da8d #0: Start _do_connect
[2023-09-04 14:06:05.732181]:  * MUVBOX_da8d #0:  IP = 192.168.137.138
[2023-09-04 14:06:05.735181]:  * MUVBOX_da8d #0: SUCCESSFULL CONNECTED TO 192.168.137.138
[2023-09-04 14:06:05.738186]:  * MUVBOX_da8d #0: Start command__system_info
[2023-09-04 14:06:05.740182]:  * MUVBOX_da8d #0: free heap: 57168 mac: 4c:75:25:5c:da:8d firmware: 0 sensor task: None
[2023-09-04 14:06:05.745184]:  * MUVBOX_da8d #0: command__system_info successful
[2023-09-04 14:06:05.748184]:  * MUVBOX_da8d #0: Start scale procedure.
[2023-09-04 14:06:05.750183]:  * MUVBOX_da8d #0: Scale procedure done. Using DEGSCALE=250 GSCALE=4
[2023-09-04 14:06:05.753183]:  * MUVBOX_da8d #0: Setup done for MuvBox version FM10V000.980
[2023-09-04 14:06:05.755184]:  * MUVBOX_da8d #0: End do_connect
[2023-09-04 14:06:05.758185]:  * MUVBOX_c221 #1: Start _do_connect
[2023-09-04 14:06:05.761183]:  * MUVBOX_c221 #1:  IP = 192.168.137.199
[2023-09-04 14:06:05.764191]:  * MUVBOX_c221 #1: SUCCESSFULL CONNECTED TO 192.168.137.199
[2023-09-04 14:06:05.768187]:  * MUVBOX_c221 #1: Start command__system_info
[2023-09-04 14:06:05.771184]:  * MUVBOX_c221 #1: free heap: 58012 mac: 34:86:5d:44:c2:21 firmware: 0 sensor task: None
[2023-09-04 14:06:05.774186]:  * MUVBOX_c221 #1: command__system_info successful
[2023-09-04 14:06:05.776185]:  * MUVBOX_c221 #1: Start scale procedure.
[2023-09-04 14:06:05.779185]:  * MUVBOX_c221 #1: Scale procedure done. Using DEGSCALE=250 GSCALE=4
[2023-09-04 14:06:05.782184]:  * MUVBOX_c221 #1: Setup done for MuvBox version FM10V000.980
[2023-09-04 14:06:05.785200]:  * MUVBOX_c221 #1: End do_connect
[2023-09-04 14:06:10.882196]:  * MUVBOX_da8d #0: Start start_reading
[2023-09-04 14:06:10.886198]:  * MUVBOX_da8d #0: Start command__start_sensor
[2023-09-04 14:06:10.889206]:  * MUVBOX_da8d #0: start_sensor command successful
[2023-09-04 14:06:10.892210]:  * MUVBOX_da8d #0: Start scale procedure.
[2023-09-04 14:06:10.895206]:  * MUVBOX_da8d #0: Scale procedure done. Using DEGSCALE=250 GSCALE=2
[2023-09-04 14:06:10.898207]:  * MUVBOX_c221 #1: Start start_reading
[2023-09-04 14:06:10.901733]:  * MUVBOX_c221 #1: Start command__start_sensor
[2023-09-04 14:06:10.904751]:  * MUVBOX_c221 #1: start_sensor command successful
[2023-09-04 14:06:10.907751]:  * MUVBOX_c221 #1: Start scale procedure.
[2023-09-04 14:06:10.910756]:  * MUVBOX_c221 #1: Scale procedure done. Using DEGSCALE=250 GSCALE=2
